crop_type,soil_moisture,temperature,rainfall,humidity,irrigate
Soybean,30.85,29.96,212.53,46.26,0
Maize,42.86,18.43,211.41,60.06,1
Wheat,23.6,39.95,29.03,73.96,0
Wheat,57.87,20.8,153.84,81.67,1
Rice,56.15,23.74,180.93,86.95,0
Soybean,25.36,39.71,206.68,71.52,0
Maize,20.06,26.89,29.03,37.57,1
Wheat,55.29,26.15,291.93,74.85,1
Rice,54.37,19.87,238.97,52.14,0
Cotton,23.37,35.76,285.38,79.55,1
Soybean,43.81,28.54,205.76,38.0,1
Maize,57.65,35.21,193.82,84.88,0
Soybean,38.49,23.63,14.01,67.36,1
Cotton,18.13,18.69,90.49,72.27,1
Cotton,15.08,38.16,160.67,41.22,0
Rice,58.32,31.58,19.72,46.19,0
Cotton,14.26,28.32,230.73,61.46,0
Maize,34.75,21.24,255.59,36.73,1
Rice,39.82,28.42,287.04,87.95,1
Maize,56.58,21.19,188.39,63.5,1
Wheat,34.37,28.81,122.51,30.77,1
Wheat,30.47,26.01,34.81,88.59,0
Rice,40.36,38.19,4.52,49.13,1
Soybean,42.2,38.65,138.03,37.51,1
Wheat,59.66,16.03,13.88,42.65,1
Cotton,40.18,17.66,161.35,66.13,1
Rice,29.48,19.64,77.09,32.5,1
Cotton,10.03,22.07,28.93,82.07,1
Maize,52.65,33.35,125.18,86.56,0
Soybean,33.35,34.24,5.06,71.85,0
Soybean,22.88,20.7,187.88,70.54,1
Cotton,25.48,29.04,270.76,46.71,0
Maize,49.92,37.96,231.0,65.45,1
Maize,44.32,22.08,15.54,34.96,0
Maize,11.35,35.8,141.24,63.62,1
Soybean,10.37,31.97,238.82,49.73,1
Rice,29.31,35.92,229.53,59.43,0
Wheat,59.8,18.85,89.79,71.19,1
Cotton,58.06,34.44,62.64,88.49,0
Soybean,52.69,28.91,266.67,79.04,0
Soybean,25.36,39.71,206.68,71.52,0
Cotton,54.94,18.33,5.39,35.8,0
Maize,14.09,26.29,272.68,68.77,0
Soybean,23.07,22.46,269.4,56.28,0
Rice,15.93,21.02,9.21,42.45,0
Soybean,41.04,34.09,293.88,45.52,1
Soybean,39.54,17.92,212.79,32.29,0
Soybean,59.67,16.55,21.79,82.72,1
Rice,41.95,31.25,21.6,70.29,1
Soybean,50.26,27.08,24.18,79.13,0
Cotton,18.15,29.43,65.33,80.31,1
Wheat,37.26,31.84,12.69,77.23,1
Soybean,52.13,25.5,264.39,68.5,0
Wheat,22.9,24.05,99.69,73.83,1
Soybean,19.21,34.98,96.3,51.06,0
Cotton,41.27,23.59,258.91,35.53,1
Rice,27.9,35.7,48.12,57.19,1
Soybean,38.7,36.41,64.41,71.64,1
Maize,52.65,33.35,125.18,86.56,0
Soybean,14.54,32.64,183.44,73.77,0
Rice,26.79,32.5,103.24,86.21,0
Maize,43.49,17.74,278.48,71.44,0
Rice,49.29,37.46,271.66,42.71,0
Rice,24.83,27.96,21.9,81.41,0
Cotton,15.16,22.76,86.02,69.19,0
Rice,27.8,22.8,96.48,55.98,1
Rice,12.72,15.24,243.95,38.16,1
Wheat,59.37,28.42,11.72,48.34,0
Maize,26.94,35.55,33.79,34.88,0
Cotton,37.51,22.43,177.38,74.15,1
Rice,27.54,22.93,52.37,87.47,0
Rice,25.04,34.02,50.71,47.87,0
Wheat,21.98,29.48,0.85,70.66,1
Soybean,17.79,39.04,80.59,53.13,0
Maize,50.45,34.22,10.72,78.99,0
Rice,30.64,31.61,23.45,55.1,0
Soybean,22.88,20.7,187.88,70.54,1
Soybean,29.34,29.48,277.94,38.14,0
Cotton,39.89,18.23,255.01,71.2,0
Wheat,49.94,16.34,226.31,89.21,1
Maize,54.86,17.31,148.31,33.12,0
Soybean,12.92,22.7,159.17,34.16,0
Soybean,17.79,39.04,80.59,53.13,0
Maize,50.85,30.37,266.99,58.19,0
Cotton,52.26,31.76,47.77,79.07,0
Maize,21.32,34.49,272.42,33.17,0
Cotton,13.92,15.73,199.4,63.08,0
Wheat,52.9,37.75,18.88,68.01,1
Cotton,18.59,24.62,244.93,50.1,1
Cotton,48.29,18.63,89.88,88.27,0
Cotton,29.27,23.41,183.7,57.93,0
Maize,42.22,19.28,285.61,47.03,1
Cotton,34.39,27.35,258.71,34.35,1
Soybean,23.7,15.18,256.89,69.75,1
Rice,26.76,19.39,39.27,86.52,1
Soybean,36.22,35.18,216.93,80.68,1
Maize,25.38,35.52,73.74,54.23,1
Soybean,58.23,35.8,173.95,38.58,1
Soybean,33.33,35.32,139.63,70.65,1
Rice,16.6,28.62,181.97,51.79,1
Maize,57.32,28.83,297.38,77.06,0
Cotton,41.14,26.89,5.09,43.69,0
Cotton,17.05,37.04,276.08,53.48,0
Soybean,26.78,26.5,38.89,58.33,0
Maize,21.92,20.37,281.98,61.99,0
Rice,14.84,30.1,153.82,84.24,0
Wheat,11.02,16.74,282.22,63.22,1
Maize,15.06,38.91,100.86,56.31,1
Soybean,57.7,36.78,268.65,78.32,0
Soybean,32.27,25.09,74.08,34.5,0
Soybean,22.41,27.82,89.69,30.47,0
Cotton,31.04,38.7,191.98,71.54,0
Soybean,24.9,35.68,269.02,30.34,1
Maize,59.76,34.49,194.65,42.07,0
Maize,58.03,29.24,75.63,76.49,1
Soybean,31.55,31.44,120.67,68.67,0
Soybean,17.39,23.98,65.88,49.12,0
Soybean,32.51,18.3,261.98,36.94,0
Maize,44.62,28.63,18.6,38.27,0
Soybean,43.19,37.53,43.72,80.81,0
Rice,12.89,39.63,30.96,51.23,1
Maize,58.84,26.14,249.52,64.01,1
Soybean,10.61,31.97,159.28,75.23,1
Maize,29.76,25.03,84.21,35.2,0
Cotton,15.93,18.04,58.88,80.26,0
Rice,17.76,36.39,270.09,63.95,0
Rice,24.49,30.18,84.93,68.54,1
Wheat,18.43,28.7,138.06,63.87,0
Wheat,23.41,19.0,291.94,34.99,0
Soybean,36.6,19.05,44.33,73.97,1
Maize,51.24,23.37,150.19,81.6,1
Rice,18.76,18.7,119.47,37.79,0
Rice,23.08,16.61,118.13,53.81,1
Soybean,37.68,37.63,95.13,80.45,1
Wheat,47.27,25.94,145.32,88.53,1
Wheat,30.47,26.01,34.81,88.59,0
Soybean,19.25,15.31,240.09,36.38,1
Maize,44.71,20.95,251.55,55.66,1
Wheat,18.69,17.11,38.13,33.37,1
Cotton,59.93,35.64,20.15,89.85,0
Maize,30.29,24.97,241.47,37.5,1
Rice,37.69,17.23,145.13,78.88,0
Rice,55.66,32.17,119.8,81.08,0
Soybean,29.87,33.66,79.82,54.97,0
Wheat,49.46,31.82,23.78,74.16,1
Wheat,19.31,30.73,282.98,59.48,1
Soybean,36.13,37.03,82.17,46.81,1
Rice,26.16,28.52,72.95,51.58,0
Wheat,15.74,26.74,126.28,65.71,0
Maize,24.28,27.64,114.14,45.79,1
Maize,13.93,32.68,134.13,40.48,1
Maize,46.5,23.06,41.61,59.83,1
Maize,41.37,32.67,129.19,46.63,0
Wheat,30.47,26.01,34.81,88.59,0
Wheat,43.73,26.03,172.21,57.95,1
Cotton,13.75,20.77,108.04,62.94,1
Maize,56.74,38.33,165.72,85.37,0
Maize,40.47,32.87,131.72,48.88,0
Cotton,48.16,34.26,17.37,52.35,1
Cotton,24.59,34.72,234.65,61.02,0
Cotton,38.98,29.06,209.94,57.7,1
Wheat,25.89,34.56,96.54,32.53,0
Wheat,46.37,34.26,1.08,47.97,0
Cotton,17.09,27.85,13.07,76.06,1
Soybean,50.26,27.08,24.18,79.13,0
Maize,41.89,27.2,31.12,78.45,0
Wheat,22.87,24.42,238.81,87.53,1
Maize,55.39,35.68,266.99,31.98,0
Maize,43.7,28.65,15.11,75.22,0
Rice,40.61,24.58,287.82,43.17,1
Cotton,50.94,36.17,88.33,75.86,1
Cotton,34.3,28.39,154.91,49.78,1
Cotton,12.44,25.04,206.1,84.35,0
Rice,38.94,18.52,148.15,53.75,1
Maize,52.35,38.85,59.02,84.3,1
Rice,41.95,31.25,21.6,70.29,1
Soybean,54.32,17.3,211.09,30.43,1
Rice,18.81,28.16,215.04,58.72,0
Cotton,41.19,16.84,213.44,66.14,1
Cotton,10.69,26.44,7.83,70.52,0
Cotton,19.87,28.62,244.8,53.77,0
Cotton,44.02,27.68,168.21,78.25,1
Soybean,57.25,24.83,19.02,83.02,1
Maize,39.93,34.15,21.29,60.31,0
Rice,56.55,16.63,103.44,45.47,1
Rice,54.44,27.37,183.5,31.43,1
Maize,51.32,25.12,61.04,40.1,1
Cotton,50.43,28.76,55.52,47.44,1
Rice,49.86,23.53,237.13,77.7,0
Cotton,11.52,32.54,56.91,77.99,0
Rice,56.49,22.69,299.94,80.14,1
Wheat,52.53,31.07,148.09,37.98,0
Rice,50.35,15.62,240.99,74.28,1
Maize,51.58,15.59,144.54,73.6,1
Rice,22.04,25.96,50.4,37.46,0
Maize,41.32,32.54,256.14,63.42,1
Wheat,25.54,17.29,194.46,69.3,0
Maize,53.06,25.11,49.28,41.38,1
Wheat,13.99,15.64,57.59,49.15,1
Maize,42.28,28.33,67.85,76.22,1
Maize,44.62,28.63,18.6,38.27,0
Maize,27.22,32.3,126.55,60.99,0
Soybean,57.13,39.71,110.66,73.41,1
Rice,54.3,34.76,196.02,84.65,1
Wheat,41.0,30.69,143.84,59.2,1
Cotton,41.51,22.46,5.39,52.51,0
Wheat,20.02,15.04,221.03,85.92,1
Cotton,42.67,22.41,167.58,48.18,1
Maize,55.27,37.64,164.07,83.37,1
Wheat,41.82,17.81,45.39,72.14,0
Wheat,38.54,31.59,296.36,41.37,0
Maize,33.42,38.03,201.41,40.55,0
Wheat,20.92,25.41,203.04,64.95,1
Maize,21.96,26.62,275.81,50.14,0
Maize,26.86,21.01,136.83,34.25,1
Soybean,16.16,22.74,270.42,37.5,0
Rice,53.36,19.5,99.82,36.01,0
Soybean,14.53,30.41,133.24,33.77,1
Soybean,10.85,21.31,41.35,78.45,1
Cotton,27.58,35.39,3.85,42.59,1
Cotton,49.32,39.14,67.0,76.6,1
Soybean,38.55,29.1,253.46,59.85,0
Maize,44.36,25.41,113.18,30.17,1
Wheat,19.21,22.66,108.27,69.08,1
Wheat,50.81,17.19,147.0,65.93,1
Cotton,10.04,37.39,196.21,87.84,0
Rice,49.2,31.22,98.9,41.8,0
Wheat,42.74,29.64,1.98,75.54,1
Maize,50.99,30.84,169.98,58.06,1
Maize,48.96,35.34,239.19,38.29,1
Maize,43.7,28.65,15.11,75.22,0
Wheat,49.45,35.35,137.91,69.85,1
Rice,42.95,26.3,24.03,69.56,1
Rice,21.29,30.81,66.51,58.95,0
Rice,37.9,21.8,250.19,52.04,1
Wheat,32.11,25.24,103.8,39.12,1
Soybean,40.98,34.15,202.14,38.64,0
Rice,43.29,39.32,181.95,46.13,1
Soybean,44.6,32.72,255.02,59.0,1
Rice,55.56,30.1,231.13,75.67,1
Maize,38.52,23.12,142.64,60.74,0
Maize,58.7,36.29,164.47,46.26,0
Maize,45.5,26.42,167.06,88.32,0
Wheat,28.16,22.54,18.63,76.48,1
Cotton,50.43,28.76,55.52,47.44,1
Cotton,28.27,21.9,213.6,60.69,1
Wheat,25.01,38.25,46.88,32.56,0
Soybean,13.49,19.74,188.49,78.81,1
Cotton,15.51,27.12,90.38,81.06,0
Cotton,16.65,28.74,70.61,71.63,1
Soybean,37.31,18.85,186.6,72.6,0
Soybean,38.55,29.1,253.46,59.85,0
Wheat,33.05,37.32,295.35,78.01,0
Maize,55.27,37.64,164.07,83.37,1
Rice,34.14,36.13,96.07,67.42,1
Maize,54.31,26.21,99.95,45.71,1
Wheat,46.23,23.87,138.71,49.06,0
Cotton,25.5,23.92,15.6,34.92,1
Rice,22.16,27.26,160.98,78.91,0
Soybean,37.31,18.85,186.6,72.6,0
Maize,53.85,32.03,2.5,43.48,0
Soybean,18.47,35.04,106.36,42.15,0
Cotton,49.81,38.31,29.32,52.89,1
Rice,25.41,29.85,214.5,76.75,0
Rice,57.15,36.33,63.28,38.86,1
Maize,25.09,26.73,47.62,49.28,0
Wheat,25.84,16.55,254.33,72.55,0
Maize,31.07,38.01,244.12,66.98,1
Maize,13.23,24.21,50.61,79.65,0
Wheat,21.56,20.59,218.1,38.31,0
Soybean,53.42,34.88,292.65,69.85,0
Soybean,52.69,28.91,266.67,79.04,0
Wheat,58.4,26.62,248.45,42.13,1
Soybean,47.1,31.2,173.4,56.85,1
Soybean,37.33,35.48,68.81,79.09,0
Cotton,35.49,38.89,291.09,73.54,0
Rice,57.34,35.49,281.66,87.83,0
Maize,44.71,20.95,251.55,55.66,1
Cotton,22.81,30.61,148.47,51.64,0
Cotton,16.58,34.64,249.7,45.34,1
Wheat,25.42,19.96,5.3,36.45,1
Wheat,17.52,37.81,225.06,70.4,1
Maize,15.9,38.17,131.9,49.75,1
Soybean,59.67,16.55,21.79,82.72,1
Maize,41.89,27.2,31.12,78.45,0
Wheat,41.68,37.23,247.0,63.9,0
Rice,24.83,27.96,21.9,81.41,0
Rice,11.98,26.16,33.53,30.88,0
Wheat,55.91,31.8,217.09,83.14,0
Wheat,10.95,24.27,4.71,87.9,1
Wheat,55.19,33.71,179.36,63.8,1
Wheat,26.18,35.87,294.69,43.95,0
Maize,48.75,34.08,33.13,61.62,1
Soybean,58.23,35.8,173.95,38.58,1
Maize,36.76,19.97,276.21,57.4,0
Rice,12.66,34.52,119.42,45.94,1
Rice,27.57,30.95,80.74,84.74,1
Soybean,14.97,26.24,180.63,79.04,0
Soybean,25.92,23.1,66.82,53.06,1
Wheat,23.75,21.5,106.66,89.47,1
Cotton,43.39,21.15,82.94,54.91,1
Wheat,37.19,21.49,203.96,31.42,1
Rice,27.8,22.8,96.48,55.98,1
Soybean,41.25,29.99,63.02,84.27,0
Rice,26.33,16.78,141.1,31.59,0
Cotton,26.04,25.05,101.73,86.33,1
Wheat,12.01,27.47,122.18,72.93,0
Rice,32.62,38.37,81.84,70.0,1
Wheat,41.91,33.04,293.96,86.91,1
Maize,10.17,38.09,264.62,56.96,1
Soybean,34.49,25.1,48.28,31.72,1
Maize,54.52,24.24,112.09,34.66,0
Rice,56.49,22.69,299.94,80.14,1
Maize,54.58,34.21,106.97,66.21,0
Wheat,18.31,30.83,31.09,87.76,0
Maize,11.1,31.75,9.29,78.97,1
Soybean,50.8,18.82,166.45,59.92,1
Wheat,11.32,17.71,179.96,59.02,0
Maize,45.5,26.42,167.06,88.32,0
Wheat,51.4,32.57,91.02,87.69,1
Rice,52.76,28.43,229.38,51.27,1
Soybean,56.77,15.94,128.4,44.28,1
Wheat,39.71,16.01,115.46,88.71,0
Rice,54.37,19.87,238.97,52.14,0
Wheat,39.08,24.42,255.72,38.26,1
Cotton,54.94,18.33,5.39,35.8,0
Cotton,17.79,20.16,30.42,88.39,1
Cotton,15.08,26.29,115.05,36.15,0
Wheat,58.88,39.63,291.88,34.17,1
Rice,37.28,19.17,167.11,44.28,0
Maize,20.07,24.91,260.65,71.96,0
Wheat,46.23,28.06,52.97,85.5,0
Rice,17.86,28.55,262.92,56.83,0
Soybean,14.97,26.24,180.63,79.04,0
Cotton,48.74,38.04,78.5,83.74,0
Rice,37.4,23.13,250.93,38.0,0
Cotton,41.51,22.46,5.39,52.51,0
Rice,25.04,34.02,50.71,47.87,0
Cotton,29.72,20.48,126.87,50.3,0
Rice,51.3,26.66,72.27,70.13,0
Rice,49.46,29.38,172.84,72.45,1
Wheat,19.13,27.13,92.77,49.09,0
Maize,20.09,37.34,252.0,72.52,0
Soybean,58.28,33.98,215.94,66.48,0
Wheat,18.86,15.48,195.78,44.44,0
Wheat,35.44,34.13,245.21,32.44,0
Rice,51.25,31.18,73.73,77.72,0
Maize,35.01,27.23,60.32,87.36,1
Maize,53.98,19.85,43.52,55.44,1
Wheat,10.39,30.91,140.02,76.14,1
Cotton,44.36,30.46,168.83,30.71,1
Rice,34.14,36.13,96.07,67.42,1
Wheat,32.25,19.21,75.54,41.93,1
Wheat,49.34,26.63,14.04,80.85,1
Cotton,39.17,36.13,94.17,45.61,0
Cotton,30.56,20.84,252.64,38.55,0
Maize,33.69,33.49,295.15,85.49,1
Rice,16.73,18.95,90.5,34.14,0
Soybean,51.66,34.03,225.0,72.4,1
Maize,59.54,23.45,252.93,38.92,0
Wheat,50.13,26.04,103.89,78.7,0
Soybean,56.77,36.08,76.73,75.16,1
Soybean,53.42,34.88,292.65,69.85,0
Rice,16.08,32.96,246.12,58.11,0
Wheat,30.76,24.27,139.39,44.68,1
Rice,32.7,25.13,165.91,72.99,1
Cotton,17.34,30.36,252.25,35.59,0
Maize,31.75,28.83,142.0,61.37,1
Cotton,17.34,30.36,252.25,35.59,0
Maize,42.86,18.43,211.41,60.06,1
Cotton,30.94,32.69,202.07,56.6,0
Maize,43.62,24.58,207.77,57.21,0
Maize,18.55,24.38,175.1,69.41,0
Maize,43.8,18.81,125.0,87.33,1
Rice,59.94,16.84,125.97,82.16,0
Rice,23.5,23.22,154.24,60.79,0
Wheat,21.4,23.26,214.19,50.13,0
Wheat,49.46,31.82,23.78,74.16,1
Soybean,30.42,22.19,180.86,68.86,0
Maize,26.22,29.84,266.24,53.13,0
Soybean,54.94,31.69,179.45,37.47,0
Soybean,52.6,25.92,16.73,70.34,1
Wheat,36.37,38.82,201.11,41.06,1
Wheat,11.8,23.03,229.48,72.49,0
Rice,23.5,23.22,154.24,60.79,0
Soybean,59.07,33.53,252.49,64.98,0
Cotton,30.56,20.84,252.64,38.55,0
Rice,17.61,27.02,10.8,56.65,1
Rice,51.84,15.14,166.47,59.9,0
Maize,30.4,31.44,189.48,32.95,0
Soybean,58.1,28.73,265.58,45.57,1
Wheat,34.37,28.81,122.51,30.77,1
Rice,19.65,20.17,265.47,39.83,0
Soybean,57.09,18.64,67.53,43.2,1
Rice,14.31,37.81,191.92,68.81,0
Soybean,56.47,33.49,34.76,52.22,0
Wheat,58.42,36.13,270.65,60.49,0
Maize,43.47,38.36,69.39,81.52,1
Maize,34.75,21.24,255.59,36.73,1
Cotton,16.55,39.84,153.11,82.32,1
Soybean,19.53,20.36,140.36,64.64,1
Maize,52.65,33.35,125.18,86.56,0
Cotton,57.16,17.63,277.92,47.27,1
Soybean,49.83,17.21,219.22,60.26,1
Cotton,44.29,22.05,136.07,74.18,0
Soybean,12.92,22.7,159.17,34.16,0
Maize,13.03,33.97,270.27,62.5,1
Maize,21.96,26.62,275.81,50.14,0
Rice,11.79,26.62,163.28,84.74,1
Maize,31.83,27.91,156.65,45.01,1
Rice,54.78,27.3,97.84,61.61,0
Rice,39.18,29.9,53.22,81.04,1
Soybean,22.03,34.81,263.91,60.73,0
Rice,42.82,24.0,266.68,89.33,1
Soybean,46.78,19.09,7.51,33.12,0
Maize,31.87,19.65,154.49,75.61,1
Soybean,47.63,17.16,243.27,58.54,0
Soybean,56.26,17.62,211.98,48.16,0
Soybean,32.29,19.76,271.44,60.87,1
Wheat,45.4,20.41,287.18,86.15,0
Wheat,34.51,32.94,255.31,78.17,0
Rice,58.05,34.18,129.69,31.14,1
Wheat,40.1,39.63,186.82,30.29,0
Rice,16.08,32.96,246.12,58.11,0
Soybean,54.09,17.58,248.12,50.35,1
Cotton,35.98,19.42,160.07,55.23,0
Soybean,16.54,23.03,80.43,59.8,1
Soybean,43.41,38.12,76.55,84.4,1
Rice,34.22,16.58,44.49,68.34,1
Wheat,37.19,21.49,203.96,31.42,1
Maize,13.9,36.22,93.88,37.72,1
Rice,16.88,28.24,83.15,44.4,1
Soybean,46.78,19.09,7.51,33.12,0
Cotton,57.45,24.89,37.86,35.98,0
Cotton,14.16,33.28,255.55,58.34,1
Rice,48.59,27.15,154.72,47.25,1
Maize,36.37,33.28,74.89,38.15,0
Soybean,31.91,35.42,188.45,46.25,0
Cotton,31.01,23.98,28.73,82.78,0
Wheat,49.46,31.82,23.78,74.16,1
Cotton,22.66,23.39,273.92,76.67,1
Wheat,39.18,39.65,282.48,43.5,0
Maize,29.41,23.14,254.26,51.54,1
Rice,57.68,30.61,176.6,75.08,1
Maize,26.22,29.84,266.24,53.13,0
Rice,11.98,26.16,33.53,30.88,0
Rice,16.8,28.75,137.17,47.26,0
Cotton,13.96,17.8,91.0,66.39,1
Soybean,28.13,32.72,214.72,87.67,0
Rice,21.45,33.71,291.91,71.27,1
Wheat,10.34,18.03,45.31,33.23,1
Wheat,29.62,24.93,223.15,44.8,0
Rice,28.01,30.75,76.81,43.64,0
Soybean,13.87,34.14,55.52,44.63,0
Rice,38.02,35.27,148.63,64.04,0
Cotton,14.16,33.28,255.55,58.34,1
Rice,42.93,20.56,151.45,89.12,1
Rice,25.41,29.85,214.5,76.75,0
Maize,13.9,36.22,93.88,37.72,1
Maize,50.45,34.22,10.72,78.99,0
Maize,15.06,21.63,149.32,36.91,0
Rice,37.01,33.07,13.26,63.54,1
Cotton,22.72,22.72,299.0,84.78,0
Rice,26.76,19.39,39.27,86.52,1
Cotton,18.46,29.2,219.64,82.79,1
Soybean,59.68,15.88,143.26,54.95,1
Maize,43.39,35.68,213.75,78.78,0
Wheat,29.98,17.08,151.68,67.92,1
Maize,50.54,19.56,219.58,70.25,0
Wheat,26.69,37.25,17.9,57.54,1
Cotton,15.25,19.41,237.32,75.79,1
Rice,34.22,16.58,44.49,68.34,1
Cotton,26.78,37.28,124.23,33.09,1
Maize,26.82,23.46,267.78,87.48,0
Soybean,13.57,39.07,28.86,32.79,0
Wheat,31.75,17.87,286.93,65.0,0
Wheat,28.25,15.49,86.36,77.75,0
Maize,42.4,16.36,93.23,51.85,0
Rice,30.17,25.26,223.1,79.61,1
Cotton,34.56,17.43,140.26,83.04,1
Maize,33.86,19.77,143.09,83.5,1
Maize,29.19,31.4,198.36,84.33,1
Rice,18.81,30.93,129.91,81.77,1
Wheat,56.1,25.25,197.74,63.29,0
Cotton,56.64,32.94,89.63,35.35,0
Soybean,24.8,32.59,112.66,53.69,0
Rice,48.59,27.15,154.72,47.25,1
Maize,52.14,24.83,163.23,44.85,1
Soybean,38.82,15.77,88.68,89.97,0
Wheat,29.42,25.31,139.87,71.74,0
Maize,59.23,15.87,245.66,41.9,0
Wheat,56.47,30.05,136.45,53.22,1
Rice,16.59,16.17,207.81,61.66,1
Maize,13.33,15.0,211.39,59.52,0
Maize,27.2,28.07,149.36,77.63,1
Wheat,19.42,21.47,135.17,70.35,0
Maize,16.45,30.03,9.36,88.02,0
Wheat,34.72,34.64,291.45,67.12,1
Rice,57.96,38.47,2.66,78.57,1
Wheat,28.25,15.49,86.36,77.75,0
Wheat,13.28,15.51,79.49,65.2,1
Rice,25.12,18.75,221.97,47.2,0
Rice,34.89,34.51,78.49,56.52,0
Maize,15.71,31.81,53.81,79.87,0
Soybean,24.09,16.24,10.67,73.5,0
Soybean,39.97,31.5,152.18,46.16,0
Cotton,42.28,25.36,245.97,84.06,0
Cotton,25.13,28.25,291.61,66.51,1
Maize,35.51,17.09,106.82,41.74,1
Rice,19.58,32.06,129.29,85.15,0
Cotton,40.18,17.66,161.35,66.13,1
Wheat,56.79,33.68,47.79,35.83,1
Rice,18.81,28.16,215.04,58.72,0
Wheat,37.26,31.84,12.69,77.23,1
Rice,20.76,28.06,256.95,81.45,0
Wheat,24.13,33.28,139.66,54.67,1
Wheat,28.16,22.54,18.63,76.48,1
Maize,22.4,28.72,71.58,42.51,1
Wheat,21.56,20.59,218.1,38.31,0
Soybean,54.85,18.05,108.43,53.22,1
Soybean,51.59,32.97,240.41,71.13,1
Wheat,23.73,28.08,146.22,66.48,0
Cotton,17.21,28.16,54.23,87.64,1
Maize,35.13,24.29,152.86,81.43,0
Soybean,40.39,34.93,61.23,84.76,1
Cotton,54.99,35.23,266.03,86.82,0
Maize,59.8,32.44,250.18,67.59,0
Maize,32.15,32.08,63.18,37.22,0
Wheat,53.53,15.4,191.53,48.13,1
Wheat,52.51,20.63,56.59,76.5,0
Cotton,40.26,29.29,14.5,85.43,0
Soybean,53.61,33.05,277.3,74.64,1
Cotton,12.88,34.15,293.64,80.65,0
Maize,18.55,24.38,175.1,69.41,0
Soybean,54.85,18.05,108.43,53.22,1
Rice,16.78,33.42,249.0,45.04,1
Cotton,34.52,31.76,125.24,80.82,1
Soybean,13.03,26.34,86.86,53.5,0
Maize,59.31,24.88,137.88,61.35,1
Rice,27.89,17.27,129.93,38.21,1
Wheat,56.47,30.05,136.45,53.22,1
Wheat,15.74,26.74,126.28,65.71,0
Rice,54.42,32.97,60.34,44.9,1
Wheat,40.97,19.0,19.27,40.6,0
Wheat,57.3,37.89,175.46,47.38,1
Maize,46.94,28.89,190.7,65.93,1
Soybean,14.97,26.24,180.63,79.04,0
Rice,33.1,24.91,160.41,86.72,1
Maize,51.32,25.12,61.04,40.1,1
Wheat,33.08,30.65,68.19,52.87,1
Wheat,19.31,30.73,282.98,59.48,1
Maize,52.34,33.67,51.44,31.55,0
Wheat,17.95,24.51,240.74,41.31,0
Wheat,52.95,18.37,151.5,82.81,1
Soybean,45.76,19.21,90.9,86.88,1
Cotton,37.9,34.84,294.49,67.46,1
Wheat,25.7,24.81,71.19,78.18,1
Rice,18.34,25.64,168.2,84.03,1
Maize,59.76,34.49,194.65,42.07,0
Wheat,25.09,18.96,48.0,47.01,0
Cotton,22.66,23.39,273.92,76.67,1
Soybean,50.54,23.31,260.31,32.75,1
Soybean,34.24,39.59,13.77,58.72,0
Wheat,40.92,21.98,111.17,46.64,0
Rice,13.48,33.02,114.04,65.32,1
Soybean,24.12,28.55,194.72,34.52,0
Wheat,18.32,16.69,206.99,41.37,0
Wheat,27.08,32.61,229.8,43.25,0
Rice,51.07,15.72,88.6,39.85,1
Cotton,34.51,39.34,140.27,52.04,0
Rice,50.96,25.01,148.59,79.87,0
Rice,53.48,18.32,175.7,37.07,1
Maize,20.28,18.25,33.0,64.77,1
Cotton,51.73,19.89,200.53,67.88,0
Rice,51.33,39.07,16.46,79.19,1
Maize,41.59,21.08,87.93,66.99,1
Rice,50.52,18.15,224.69,63.16,0
Cotton,57.91,38.97,121.6,66.1,0
Cotton,33.81,24.63,63.88,51.44,1
Soybean,43.46,27.76,93.9,55.93,0
Soybean,25.92,23.1,66.82,53.06,1
Soybean,12.62,35.03,199.89,49.26,0
Maize,43.4,36.09,249.03,62.28,0
Maize,44.95,30.61,98.35,50.75,0
Wheat,46.59,28.18,274.06,88.15,1
Maize,31.87,19.65,154.49,75.61,1
Maize,33.08,27.35,135.05,44.49,1
Wheat,41.78,19.15,299.94,49.57,1
Wheat,17.95,24.51,240.74,41.31,0
Maize,50.54,19.56,219.58,70.25,0
Maize,45.57,38.96,9.0,36.01,1
Soybean,32.65,19.84,271.77,57.29,0
Cotton,23.98,15.24,234.54,43.71,1
Maize,46.37,37.9,149.57,62.22,0
Rice,13.54,35.24,253.65,44.12,0
Soybean,56.47,33.49,34.76,52.22,0
Soybean,39.75,37.0,247.23,86.56,0
Soybean,57.98,25.66,272.06,64.18,0
Wheat,41.54,20.61,275.6,76.71,0
Maize,43.31,29.72,40.39,68.0,1
Cotton,42.28,25.36,245.97,84.06,0
Rice,17.85,21.52,187.66,73.76,1
Wheat,10.19,30.52,184.59,46.01,0
Maize,42.26,18.33,152.86,36.06,1
Maize,16.73,39.56,40.31,73.24,0
Soybean,48.12,21.84,267.1,85.44,1
Soybean,17.79,39.04,80.59,53.13,0
Soybean,59.25,31.34,273.26,65.87,1
Wheat,30.85,33.84,106.73,43.16,1
Soybean,28.42,20.13,57.28,43.32,1
Wheat,41.01,31.52,100.89,54.62,0
Cotton,13.29,37.08,25.91,55.48,0
Rice,34.97,31.83,117.15,46.35,0
Rice,47.78,33.19,24.84,39.98,1
Maize,51.05,35.05,132.8,54.81,0
Cotton,34.52,31.76,125.24,80.82,1
Wheat,22.9,24.05,99.69,73.83,1
Soybean,46.54,31.68,278.92,38.44,1
